10.0.2.16;13.107.43.14;53784;443;1;0x00000303;27242,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53;39578,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,56026,21;www.linkedin.com;0x00001a1a,0x0000001d,0x00000017,0x00000018;0
13.107.43.14;10.0.2.16;443;53784;2,11,22,12,14;0x00000303;49200;5,35,16,23,65281;;;
10.0.2.16;108.174.11.37;55974;443;1;0x00000303;64250,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53;6682,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,27242,21;realtime.www.linkedin.com;0x00000a0a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;108.174.11.37;55976;443;1;0x00000303;6682,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53;56026,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,51914,21;realtime.www.linkedin.com;0x0000baba,0x0000001d,0x00000017,0x00000018;0
108.174.11.37;10.0.2.16;443;55974;2;0x00000303;49199;65281,0,11,16,23;;;0,1,2
10.0.2.16;108.174.11.37;55978;443;1;0x00000303;35466,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53;56026,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,43690,21;realtime.www.linkedin.com;0x00007a7a,0x0000001d,0x00000017,0x00000018;0
108.174.11.37;10.0.2.16;443;55976;2;0x00000303;49199;65281,0,11,16,23;;;0,1,2
108.174.11.37;10.0.2.16;443;55978;2;0x00000303;49199;65281,0,11,16,23;;;0,1,2
10.0.2.16;152.199.21.118;51554;443;1;0x00000303;64250,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53;23130,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,27242,21;media-exp1.licdn.com;0x0000aaaa,0x0000001d,0x00000017,0x00000018;0
152.199.21.118;10.0.2.16;443;51554;2;0x00000303;4866;43,51;;;
10.0.2.16;152.199.21.118;51554;443;1;0x00000303;64250,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53;23130,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,27242,21;media-exp1.licdn.com;0x0000aaaa,0x0000001d,0x00000017,0x00000018;0
152.199.21.118;10.0.2.16;443;51554;2;0x00000303;4866;43,51;;;
10.0.2.16;172.217.23.195;42564;443;1;0x00000303;56026,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53;10794,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,47802,21;update.googleapis.com;0x00002a2a,0x0000001d,0x00000017,0x00000018;0
172.217.23.195;10.0.2.16;443;42564;2;0x00000303;4865;51,43;;;
