10.0.2.16;45.57.40.1;34088;443;1;0x00000303;35466,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;14906,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,56026,21;h2-scm.prod.ftl.netflix.com;0x00005a5a,0x0000001d,0x00000017,0x00000018;0
45.57.40.1;10.0.2.16;443;34088;2;0x00000303;4865;43,51;;;
45.57.40.1;10.0.2.16;443;34090;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.17.155;53270;443;1;0x00000303;10794,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;51914,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,10794,21;ipv4-c055-vie001-ix.1.oca.nflxvideo.net;0x00001a1a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.17.155;53274;443;1;0x00000303;10794,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;60138,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,56026,21;ipv4-c055-vie001-ix.1.oca.nflxvideo.net;0x00007a7a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.17.155;53272;443;1;0x00000303;47802,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;14906,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,47802,21;ipv4-c055-vie001-ix.1.oca.nflxvideo.net;0x00000a0a,0x0000001d,0x00000017,0x00000018;0
45.57.17.155;10.0.2.16;443;53270;2;0x00000303;4865;43,51;;;
45.57.17.155;10.0.2.16;443;53272;2;0x00000303;4865;43,51;;;
45.57.17.155;10.0.2.16;443;53274;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.17.132;51698;443;1;0x00000303;31354,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;43690,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,64250,21;ipv4-c006-vie001-ix.1.oca.nflxvideo.net;0x0000eaea,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.17.132;51700;443;1;0x00000303;6682,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;10794,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,35466,21;ipv4-c006-vie001-ix.1.oca.nflxvideo.net;0x00002a2a,0x0000001d,0x00000017,0x00000018;0
45.57.17.132;10.0.2.16;443;51698;2;0x00000303;4865;43,51;;;
45.57.17.132;10.0.2.16;443;51700;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.16.150;40792;443;1;0x00000303;10794,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;47802,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,19018,21;ipv4-c041-vie001-ix.1.oca.nflxvideo.net;0x0000baba,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.16.150;40794;443;1;0x00000303;6682,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;14906,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,10794,21;ipv4-c041-vie001-ix.1.oca.nflxvideo.net;0x00008a8a,0x0000001d,0x00000017,0x00000018;0
45.57.16.150;10.0.2.16;443;40792;2;0x00000303;4865;43,51;;;
45.57.16.150;10.0.2.16;443;40794;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.16.154;52264;443;1;0x00000303;47802,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;56026,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,51914,21;ipv4-c048-vie001-ix.1.oca.nflxvideo.net;0x00001a1a,0x0000001d,0x00000017,0x00000018;0
45.57.16.154;10.0.2.16;443;52264;2;0x00000303;4865;43,51;;;
10.0.2.16;35.190.88.7;57874;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;sessions.bugsnag.com;0x0000001d,0x00000017,0x00000018;0
35.190.88.7;10.0.2.16;443;57874;2;0x00000303;4865;51,43;;;
