10.0.2.16;13.32.14.105;48330;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;adf0901f1861.cdn4.forter.com;0x0000001d,0x00000017,0x00000018;0
13.32.14.105;10.0.2.16;443;48330;2;0x00000303;4865;43,51;;;
10.0.2.16;23.47.213.216;51066;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;apisd.ebay.com;0x0000001d,0x00000017,0x00000018;0
23.47.213.216;10.0.2.16;443;51066;2;0x00000303;49200;65281,0,11,35,5,16;;;0,1,2
10.0.2.16;64.4.245.84;34012;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;b.stats.paypal.com;0x0000001d,0x00000017,0x00000018;0
64.4.245.84;10.0.2.16;443;34012;2;0x00000303;49199;65281,0,11,35,23;;;0,1,2
10.0.2.16;100.26.87.64;48824;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;d1e1e21f178790fca2078dc00170886b-adf0901f1861.cdn.forter.com;0x0000001d,0x00000017,0x00000018;0
10.0.2.16;34.237.181.79;50730;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;d1e1e21f178790fca2078dc00170886b-adf0901f1861.cdn5.forter.com;0x0000001d,0x00000017,0x00000018;0
100.26.87.64;10.0.2.16;443;48824;2;0x00000303;49200;65281,11,16;;;0,1,2
34.237.181.79;10.0.2.16;443;50730;2;0x00000303;49200;0,65281,11,35,16;;;0,1,2
10.0.2.16;64.4.245.84;34018;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;dub.stats.paypal.com;0x0000001d,0x00000017,0x00000018;0
64.4.245.84;10.0.2.16;443;34018;2;0x00000303;49199;65281,0,11,35,23;;;0,1,2
10.0.2.16;99.86.242.89;58020;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;cdn46.forter.com;0x0000001d,0x00000017,0x00000018;0
99.86.242.89;10.0.2.16;443;58020;2;0x00000303;49199;0,11,65281,16,5,35;;;0
10.0.2.16;34.192.191.43;38426;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;cdn0.forter.com;0x0000001d,0x00000017,0x00000018;0
10.0.2.16;23.7.206.95;42574;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;c.paypal.com;0x0000001d,0x00000017,0x00000018;0
23.7.206.95;10.0.2.16;443;42574;2;0x00000303;49200;65281,0,11,35,5,16;;;0,1,2
34.192.191.43;10.0.2.16;443;38426;2;0x00000303;49199;65281,11,35,16,23;;;0,1,2
10.0.2.16;100.26.87.64;48832;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;d1e1e21f178790fca2078dc00170886b-adf0901f1861.cdn.forter.com;0x0000001d,0x00000017,0x00000018;0
100.26.87.64;10.0.2.16;443;48832;2;0x00000303;49200;65281,11,16;;;0,1,2
10.0.2.16;172.217.23.195;35510;443;1;0x00000303;39578,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53;23130,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,19018,21;update.googleapis.com;0x00004a4a,0x0000001d,0x00000017,0x00000018;0
172.217.23.195;10.0.2.16;443;35510;2;0x00000303;4865;51,43;;;
10.0.2.16;172.217.23.202;51846;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,5,13,51,45,43,21;play.googleapis.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.202;10.0.2.16;443;51846;2;0x00000303;4865;51,43;;;
10.0.2.16;172.217.23.202;51848;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,5,13,51,45,43,21;play.googleapis.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.202;10.0.2.16;443;51848;2;0x00000303;4865;51,43;;;
10.0.2.16;23.47.213.216;51090;443;1;0x00000303;6682,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;43690,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,51914,21;apisd.ebay.com;0x00008a8a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;23.47.213.216;51092;443;1;0x00000303;35466,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;51914,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,19018,21;apisd.ebay.com;0x00003a3a,0x0000001d,0x00000017,0x00000018;0
23.47.213.216;10.0.2.16;443;51090;2;0x00000303;4866;43,51;;;
23.47.213.216;10.0.2.16;443;51092;2;0x00000303;4866;43,51;;;
10.0.2.16;151.101.66.206;55996;443;1;0x00000303;19018,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;31354,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,27242,21;i.ebayimg.com;0x0000fafa,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;151.101.66.206;55990;443;1;0x00000303;19018,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;56026,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,10794,21;i.ebayimg.com;0x00004a4a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;151.101.66.206;55992;443;1;0x00000303;60138,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;2570,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,56026,21;i.ebayimg.com;0x00007a7a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;151.101.66.206;55994;443;1;0x00000303;35466,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;47802,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,14906,21;i.ebayimg.com;0x00004a4a,0x0000001d,0x00000017,0x00000018;0
151.101.66.206;10.0.2.16;443;55990;2;0x00000303;4865;43,51;;;
151.101.66.206;10.0.2.16;443;55992;2;0x00000303;4865;43,51;;;
151.101.66.206;10.0.2.16;443;55996;2;0x00000303;4865;43,51;;;
151.101.66.206;10.0.2.16;443;55994;2;0x00000303;4865;43,51;;;
10.0.2.16;52.203.120.81;35050;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;m.api.forter.com;0x0000001d,0x00000017,0x00000018;0
10.0.2.16;52.203.120.81;35052;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;m.api.forter.com;0x0000001d,0x00000017,0x00000018;0
52.203.120.81;10.0.2.16;443;35050;2;0x00000303;49199;65281,11,35,16;;;0,1,2
